id,name,subtitle,start_setup,step_1,step_2,step_3
1106,Open Book Stretch,Restores thoracic rotation — the first thing to lock after travel,"Lying on your side, knees stacked at 90°.",[A] Side-Lying Setup (SETUP) Lie on your side with hips and knees bent to 90°. Stack knees together. Extend both arms forward at shoulder height. Place top hand on top knee to keep hips anchored.,"[B] Open the Top Arm (ROTATE) Keeping the bottom knee stack stable, slowly rotate the top arm up, back, and toward the floor behind you — like opening a book. Let the chest and thoracic spine follow the arm.",[C] Hold & Return (RELEASE) Hold for 3–5 breaths at the end range. Do not force the shoulder to the floor — let gravity do it gradually. Return slowly. 5 reps each side.
1107,Physiological Sigh,Rapidly offloads CO₂ and signals the brain you have arrived safely,Seated or lying down — any comfortable position.,[A] Relax Completely (SETUP) Sit or lie comfortably. Let the body be heavy. Close the eyes. This is not just breathing — it is a signal to the nervous system that the travel phase is over.,"[B] Double Inhale (CO2 OFFLOAD) Breathe in through the nose to about 80% capacity, then sniff in a second short inhale to fully inflate the lungs. This pops collapsed air sacs (alveoli) and maximizes surface area for CO₂ exchange.","[C] Long Exhale (DOWNREGULATE) Release a long, slow exhale through the mouth — twice as long as the inhale. 3–5 rounds. Each cycle measurably reduces physiological arousal. You will feel the nervous system shift."
1108,Doorway Pec Stretch,Counteracts internal shoulder rotation from carrying bags,"Standing in a doorway, forearms on the frame.","[A] Doorway Setup (SETUP) Stand in a doorway. Place both forearms on the door frame at 90° — elbows at shoulder height, upper arms parallel to floor. Step one foot forward.",[B] Lean Through (STRETCH) Gently shift your weight forward through the doorway. Let the chest open. You should feel a stretch across the pectorals and front of the shoulders.,"[C] Hold & Breathe (RELEASE) Hold 30–45 seconds. On each exhale, allow the chest to open a fraction more. Do not shrug the shoulders up. Switch foot position halfway through."
1109,Glute Bridge,Re-engages the posterior chain after hours of sitting,"Lying on your back, knees bent, feet flat on the floor.","[A] Supine Setup (SETUP) Lie on your back. Feet flat, hip-width, heels 6 inches from glutes. Arms flat at sides. This is your reset position after travel.","[B] Drive & Lift (ENGAGE) Press through the heels and lift the hips until shoulders, hips, and knees form a straight line. Squeeze the glutes firmly at the top. Hold 2 seconds.",[C] Lower Slowly (CONTROL) Lower with control — 3 seconds down. Do not let the hips crash. The slow descent builds the posterior chain that sitting disengages.
2000,Thoracic Extension (foam roller),Extension options,Seated or supine with foam roller/rolled towel under the upper back (shoulder blade level).,[A] Setup (SETUP) Place foam roller or rolled towel under upper back. Keep knees bent and feet on the floor if lying.,[B] Extend (EXTEND) Support your head with hands and gently arch back over the roller. Pause and breathe for 3-5 breaths.,"[C] Alternative (VARIATION) If no roller, use a chair back, wall, or puppy-pose quadruped variation to find comfortable extension."
2001,Cat–Cow,Segmental flexion/extension,"On all fours, neutral spine.","[A] Neutral Tabletop (SETUP) Hands under shoulders, knees under hips. Neutral spine, neck long.","[B] Cow — Inhale (EXTEND) Inhale, drop the belly, lift the chest and tailbone.","[C] Cat — Exhale (FLEX) Exhale, round through the spine segment by segment. Move slowly for 10 cycles."
2002,Thoracic Rotation,"Rotation, 5–10 per side",Seated or kneeling with arms crossed.,[A] Seated Setup (SETUP) Sit tall with hands across chest or arms hugging shoulders.,"[B] Rotate (ROTATE) Rotate upper body gently to one side, keeping hips facing forward. Return and repeat other side.",
2003,Wall Angels,Scapular retraction & mobility,Standing with back against a wall.,"[A] Wall Contact (SETUP) Head, upper back and glutes touch the wall. Arms in a W at shoulder height.",[B] Slide to Y (ACTIVATE) Slide arms up overhead into a Y keeping contact with the wall. Return slowly.,
2004,Chin Tucks,Cervical retraction,Seated or standing tall.,"[A] Setup (SETUP) Sit or stand tall, eyes forward.","[B] Tuck (NECK) Draw chin straight back (not down), hold gently for 3–5 seconds then release.",
2005,Thread the Needle,Thoracic rotation & shoulder release,"All fours — hands under shoulders, knees under hips.","[A] Setup (SETUP) From tabletop, reach one arm under the body and rest shoulder on the floor.",[B] Hold (RELEASE) Breathe here 20–30 seconds per side and feel rotation through the upper back.,
2006,Child's Pose,Gentle spine flexion & reset,Kneel and reach arms forward.,[A] Kneel & Fold (SETUP) Sit back toward heels and fold forward with arms extended. Relax the chest toward the floor.,,
2007,Hand on Heart,Self-compassion activation through physical self-touch,"Seated or lying down, in any comfortable position.","[A] Place Both Hands (SETUP) Place one or both hands flat on the center of the chest, over the heart. Close the eyes. Physically feel the warmth of your own hands through the fabric. This simple gesture activates the same neurological pathway as receiving care from another person — the body does not fully distinguish the source of the touch.",[B] Feel the Heartbeat (CONNECT) Press gently until you can feel your heartbeat — or simply feel the rise and fall of the chest with the breath. Acknowledge: this heart has been beating for your entire life without your asking it to. It does not need you to be anxious on its behalf. Let it do its work.,"[C] Breathe Into the Hands (SOFTEN) Breathe slowly, imagining the breath flowing to and from the hands. With each exhale, consciously soften the area beneath the palms. Dr. Kristin Neff's research on self-compassion shows this gesture measurably reduces cortisol and activates the caregiving system — the same system that calms an anxious child also calms an anxious adult."
2008,Earlobe Circles,Auricular vagal branch stimulation through ear massage,"Seated, both hands raised to the ears.","[A] Find the Earlobes (SETUP) Reach up and gently take both earlobes between the thumb and index finger. The ear — specifically the concha and tragus — contains a branch of the vagus nerve called the auricular branch. Gentle stimulation here has been shown in clinical studies to increase heart rate variability, a direct marker of parasympathetic tone.","[B] Slow Circles and Gentle Pulls (STIMULATE) Make slow, gentle circles with the earlobes. Then gently pull the lobes downward — a slow, steady traction. Move to the outer ear rim (helix) and trace it slowly from bottom to top with the thumb. Take your time. This is not massage — it is gentle, deliberate stimulation.","[C] Continue and Breathe (TONE) Continue for the full minute, working both ears simultaneously. Breathe slowly — long exhales enhance the effect. You may notice a warmth in the ears, a softening of tension in the jaw, or a gentle heaviness behind the eyes. These are signs of vagal activation. This technique is used in integrative medicine for acute anxiety and insomnia."
2010,Wrist Flexor Stretch,Stretch the palm-side forearm,"Seated or standing, arm extended.",[A] Setup (SETUP) Extend the arm with palm facing up.,[B] Stretch (STRETCH) Use the other hand to gently pull fingers back toward you. Hold 30s per side.,
2011,Wrist Extensor Stretch,Stretch the top forearm,Arm extended palm down.,[A] Setup (SETUP) Extend the arm with palm facing down.,[B] Stretch (STRETCH) Use the other hand to press the fingers toward the forearm. Hold 30s per side.,
2012,Median Nerve Glide,Nerve mobility,"Seated, arm supported.",[A] Setup (SETUP) Start with a neutral wrist and fingers.,"[B] Glide (GLIDE) Make a fist, then straighten fingers and thumb across the palm. Repeat smoothly for 10 reps.",
2013,Prayer Stretch,Gentle wrist flexion,Standing or seated at chest height.,"[A] Prayer Setup (SETUP) Bring palms together at chest, fingers pointing up.",[B] Lower (STRETCH) Slowly lower hands while keeping palms together to stretch the wrists. Hold 20s.,
2014,Shakeout & Fist Pumps,Loosen the hands and forearms,Standing or seated.,[A] Shake (RELEASE) Shake both hands loose for 15 seconds.,[B] Fist Pumps (ACTIVATE) Alternate making a fist and opening the hand with punch-like pumps for 15 seconds.,
2101,Progressive Muscle Relaxation,Systematic tension-release that discharges stored muscular stress,"Lying on your back on the floor or a firm surface, arms at sides.","[A] Feet, Calves & Thighs (LOWER BODY) Starting at the feet: curl the toes and tense the feet hard for 5 seconds, then release completely. Next, contract the calves and thighs simultaneously — hold 5 seconds, then let go. The contrast between maximal tension and release is the mechanism. Stress stores muscular holding patterns below conscious awareness; PMR makes them visible and clears them.","[B] Core, Hands & Arms (MID BODY) Tense the glutes and core together — hold 5 seconds, release. Then make tight fists and tense the forearms, biceps, and shoulders all at once — hold 5 seconds, release fully. Let the arms go completely heavy. Notice the warmth in the released muscles — this is increased blood flow returning.","[C] Shoulders, Jaw & Face (UPPER BODY) Shrug the shoulders to the ears — hold 5 seconds, release. Clench the jaw and scrunch the face — hold 5 seconds, release. Finally, take a full breath, tense the entire body from feet to face simultaneously — hold 5 seconds, then release everything at once and exhale fully. One complete cycle is enough; repeat if time allows."
2102,Rhythmic Walking,Bilateral gait cycle that metabolizes cortisol and adrenaline,"Standing, with enough space to walk or march in place.","[A] March in Place (SETUP) Begin marching — knees lifting high, arms swinging in opposition (right arm forward as left knee rises). The gait cycle is the body's natural stress-metabolism mechanism. Research shows a brisk 10-minute walk reduces cortisol by 15–20%. Even 2 minutes of deliberate marching initiates this response.","[B] Cross-Body Pattern (BILATERAL) Exaggerate the cross-body swing: right elbow drives back as the left knee lifts, and vice versa. This bilateral, alternating pattern activates both brain hemispheres simultaneously and has a measurable organizing effect on a dysregulated nervous system — the same mechanism that makes walking after an argument feel instinctively helpful.","[C] Audible Exhale with Each Step (DISCHARGE) Breathe out with each step — a short, deliberate exhale through the mouth, like punctuation. Make it audible. Lift the knees higher, let the arms swing wider. After 2 minutes you will notice a shift: the quality of mental activity changes. Stress rumination is harder to sustain when the body is engaged bilaterally."
2103,Thoracic Extension,"Opens the chest compressed by stress posture, restores full breathing","Seated in a firm chair, hands clasped behind the head.","[A] Hands Behind Head (SETUP) Sit at the edge of a firm chair. Interlace the fingers behind the head, elbows wide. Chronic stress collapses the chest inward and forward — shoulders round, the thoracic spine flexes, and the breath shortens. This position is the direct reversal of that pattern.","[B] Extend Over the Chair Back (OPEN) Lean back gently over the top edge of the chair back — let it act as a fulcrum for the mid-thoracic spine. Allow the head to drop back, elbows flare open, chest lifts toward the ceiling. Hold 10–15 seconds. Breathe into the stretch. You may feel or hear gentle cracking — this is normal joint cavitation.","[C] Repeat at Different Levels (MOBILIZE) Come up slowly, shift position up slightly on the chair, and extend again at a different vertebral level. 3–4 extensions across the mid and upper thoracic. Each one opens the anterior chest, stretches the intercostals, and restores full lung volume — all of which are mechanically restricted during the stress posture."
2104,The Shake-Out,TRE — Tension/Trauma Releasing Exercises via natural tremor,"Standing, feet hip-width, knees soft.","[A] Soft Knees, Begin Bouncing (SETUP) Stand with feet hip-width, knees softly bent. Let the arms hang completely loose. Begin gentle heel-drops — heels barely lifting, dropping with gravity, letting the body bounce passively. Do not force anything. Animals in the wild tremble after a stressful encounter to discharge the activation; this is the same reflex.","[B] Let the Shake Travel Up (DISCHARGE) Let the tremoring move up from the feet — through the knees, hips, belly, chest, arms. If the body wants to shake more, let it. If natural tremor doesn't arrive, gentle deliberate bouncing is still effective. The goal is movement without muscular control — surrendering the body to its own discharge mechanism.","[C] Gradually Still, Then Rest (INTEGRATE) After 90 seconds, let the shaking slow naturally — do not stop it abruptly. Stand completely still for 20 seconds and notice the quality of the body: warmth, tingling, a sense of weight and softness. This is parasympathetic activation. Used in trauma-informed therapy worldwide (TRE, Somatic Experiencing)."
2105,Child's Pose,Vagal toning through forward fold and abdominal compression,"Kneeling on the floor, knees wide, big toes together.","[A] Kneel and Fold Forward (SETUP) Kneel with knees wide or together, big toes touching. Fold the torso forward over the thighs and rest the forehead on the floor, or on stacked hands or a folded blanket. Arms can extend forward or rest alongside the body. Let the entire torso go heavy.",[B] Abdomen Against Thighs (COMPRESS) The mild compression of the abdomen against the thighs in this position applies gentle pressure on the gut wall — which in turn stimulates the vagus nerve via the enteric nervous system. This is part of why forward folds feel intrinsically calming. Allow each exhale to press the belly more firmly against the thighs.,"[C] Breathe Into the Back Body (RESTORE) Direct the breath into the back: feel the ribs widen laterally on the inhale, then settle on the exhale. Stay for the full 90 seconds. If the mind returns to the stressor, acknowledge it and redirect to the sensation of the forehead on the ground. You do not have to solve anything right now."
2106,Chin Tucks,Cervical decompression that releases the suboccipital muscles,Seated upright or standing against a wall.,"[A] Upright Posture (SETUP) Sit or stand tall. During stress, the head juts forward as the body prepares for action — this compresses the upper cervical spine, restricts blood flow to the brain, and contributes to tension headaches. The chin tuck is a direct reset of this pattern. Think: 'tall spine, double chin.'","[B] Draw the Chin Straight Back (RETRACT) Without tilting the head, draw the chin straight back — creating a 'double chin.' The head should feel like it's gliding back on a level track, not tucking downward. Hold the retraction gently for 3–5 seconds. You should feel a mild stretch at the base of the skull — this is the suboccipital release.","[C] 10 Slow Reps (DECOMPRESS) Release and repeat — 10 slow, deliberate reps. Each one creates traction in the upper cervical joints, decompresses the C1-C2 region, and releases the muscles that clamp tight under stress. Combined with slow nasal breathing throughout, this produces a rapid drop in perceived tension."
2107,Wall Pushes,Isometric exertion that completes the stress activation cycle,Standing an arm's length from a solid wall.,"[A] Hands on Wall at Shoulder Height (SETUP) Place both palms flat against the wall at shoulder height, arms nearly straight. Step the feet back slightly. The stress response contracts muscles and primes them for exertion — this exercise uses that primed energy deliberately rather than letting it sit unspent in the body.","[B] Push with Maximum Effort (EXERT) Press into the wall as hard as you can — as if you intend to push it over. Engage the entire kinetic chain: push through the feet, brace the core, press with the chest, shoulders, and arms simultaneously. Hold 10 seconds of maximal effort. Breathe out slowly during the push.","[C] Release and Exhale Fully (COMPLETE) Release suddenly and exhale completely. The abrupt shift from maximum tension to release signals the nervous system that the threat response is complete. Repeat 3–5 times. This is the physical completion of the fight-or-flight cycle — the body gets the exertion it was primed to perform, and can now down-regulate."
2108,Butterfly Hug,Bilateral stimulation (EMDR technique) that integrates the stress response,"Seated or standing, arms crossed over the chest.","[A] Cross Arms Over Chest (SETUP) Cross both arms over the chest — right hand to the left shoulder area, left hand to the right — like hugging yourself. Fingertips rest near the collarbones or upper arms. Close the eyes. This position was developed by Lucina Artigas for trauma survivors and is a core technique in EMDR (Eye Movement Desensitization and Reprocessing) therapy.","[B] Alternating Taps (BILATERAL) Begin alternating gentle taps — right hand taps, then left hand taps — at a slow, rhythmic pace, like a slow heartbeat. The alternating bilateral stimulation mimics REM sleep processing and activates both brain hemispheres simultaneously. This helps the nervous system integrate and file the stress experience rather than holding it.","[C] Continue and Breathe (INTEGRATE) Continue for the full 90 seconds. Breathe slowly and naturally. You may notice images, sensations, or memories arising — let them pass without engagement. The bilateral rhythm is doing the work. Many people find this position produces an immediate sense of comfort and safety — the same circuits activated by human contact are recruited through self-administered bilateral touch."
2201,Wall-Press TKE (Terminal Knee Extension),Quad activation without compression,"Standing, facing a wall with one foot slightly behind the other. The front knee is slightly bent.",[A] Wall Setup (SETUP) Stand facing a wall. Place one foot slightly behind the other. The front knee is slightly bent. Keep the front heel grounded.,[B] Press & Lock Out (ACTIVATE) Press the front heel into the floor and squeeze the quadriceps hard to 'lock out' the knee. Hold the squeeze for 2 seconds.,[C] Release & Repeat (CONTROL) Release and repeat 10–12 times per leg. Switch sides.
2202,Straight Leg Raises,Quad strength without joint load,"Lying on your back: one leg bent with foot flat, the other leg straight out.","[A] Supine Setup (SETUP) Lie on your back. One leg bent, foot flat; the other leg extended straight.",[B] Lift to Opposite Knee Height (STRENGTHEN) Lift the straight leg to the height of the opposite bent knee. Squeeze the quad at the top. Lower slowly.,[C] Controlled Lower (ECCENTRIC) Lower in 3 seconds. 10–12 reps per leg.
2203,Isometric Wall Sits,Pain-numbing isometric hold,"Standing: back flat against a wall, feet shoulder-width apart and 12 inches forward.","[A] Wall Contact (SETUP) Stand with back flat against a wall. Feet shoulder-width, about 12 inches in front.",[B] Slide Down (HOLD) Slide down into a partial squat. Hold. Isometric holds have a pain-numbing effect on joints.,[C] Breathe (RELEASE) Hold 45 seconds. Breathe normally.
2204,Towel Heel Slides,Joint oiling for arthritis stiffness,Lying on your back: one heel resting on a towel or smooth surface.,"[A] Supine, Heel on Towel (SETUP) Lie on your back. One heel on a towel or smooth floor.","[B] Slide Heel Toward Glutes (MOBILIZE) Slowly slide the heel toward your glutes, then back out. Joint oiling for stiffness.",[C] Smooth & Slow (REPEAT) Continue 45 seconds. Repeat other side if time allows.
2205,Self-Resisted Clamshells,Hip strength to prevent knee cave,Lying on your side: knees bent at 90 degrees and stacked. Top hand on outside of top knee.,"[A] Side-Lying Setup (SETUP) Lie on your side. Knees bent 90°, stacked. Top hand on outside of top knee.",[B] Lift Against Resistance (STRENGTHEN) Lift the top knee while pressing down with your hand. Stronger hips prevent the knee from caving inward.,[C] Lower & Repeat (CONTROL) Lower slowly. 10–12 reps per side.
2206,Seated Knee Extensions,Thigh strength without weight-bearing,Seated: sitting tall in a chair with feet dangling.,"[A] Chair Setup (SETUP) Sit tall in a chair, feet dangling. Hands on chair or thighs.",[B] Straighten Leg (EXTEND) Slowly straighten one leg until horizontal. Squeeze the quad at the top. Maintains thigh muscle mass when weight-bearing is painful.,[C] Lower Slowly (CONTROL) Lower in 3 seconds. 10–12 reps per leg.
2207,Low Box Step-Ups,"Eccentric strength, slow descent",Standing: facing a low step or the bottom stair.,[A] Step Setup (SETUP) Stand facing a low step or bottom stair. 4–6 inches is enough to start.,[B] Step Up (CONCENTRIC) Step up slowly with one foot. Bring the other foot to meet it.,[C] Slow Descent (ECCENTRIC) Step down slowly — 3–4 seconds to lower. Builds eccentric strength that protects the knee. 8–10 reps each leg.
3001,Standing Club Rotations,Separate upper body rotation from stable hips.,Standing tall with feet shoulder-width apart.,"(SETUP) Hold a golf club across your upper back and shoulders, gripping each end. Keep your spine straight and knees slightly bent.",(ROTATE) Rotate your torso to the right as far as comfortable while keeping your hips and feet facing forward.,"(SWITCH) Slowly rotate to the left, feeling the separation between your upper and lower body."
3002,Leg Swings,"Lubricate the hip joint in front, back, and lateral planes.",Standing near a wall or golf cart for balance.,"(SETUP) Stand on one leg, engage your core, and rest a hand lightly on the wall or cart for balance.","(SWING) Swing the opposite leg forward and backward in a controlled motion, gradually increasing the range as the hip warms up.",(LATERAL) Switch to side-to-side swings in front of your body to open the hip socket in the lateral plane.
3003,Active Wrist Circles,Warm wrists and forearms for gripping the club.,Arms extended in front of you at chest height.,(SETUP) Make light fists with both hands with arms extended at shoulder height.,"(CIRCLE) Rotate your wrists in slow, controlled clockwise circles, using the full available range.","(REVERSE) Change direction to counter-clockwise, releasing tension through the forearms."
3004,Open Books,Restore thoracic rotation after repetitive swings.,"Lying on your side, knees stacked and bent at 90 degrees.",(SPINE) Extend both arms straight out in front of you with palms touching and knees stacked.,(OPEN) Lift the top arm and rotate it slowly across your body toward the floor behind you while keeping your knees pinned together.,"(RESET) Breathe deeply into the stretch, then slowly return to the starting position and repeat."
3005,Kneeling Hip Flexor Stretch,Lengthen the front of the hip after walking and swinging.,In a half-kneeling position with one knee on the floor.,"(SETUP) Keep your front foot flat, torso upright, and ribs stacked over the pelvis.",(TUCK) Gently tuck your pelvis under and lean forward slightly until you feel a stretch in the front of your back hip.,(REACH) Reach the arm on the same side as your back knee toward the ceiling to deepen the release.
3006,Thread the Needle,Release tension between the shoulder blades.,On all fours with hands under shoulders and knees under hips.,"(SETUP) Slide one arm underneath the other, palm up, reaching as far as comfortable.","(ROTATE) Lower your shoulder and ear toward the floor, letting the upper back rotate.",(BREATH) Hold and breathe into the space between your shoulder blades before switching sides.
3011,Lateral Lunges with Reach,Groove lateral load and balance for wide court coverage.,Standing with feet wide apart.,"(SETUP) Shift your weight to the right, bending the right knee while keeping the left leg straight.",(REACH) Reach your arms forward to balance your weight and keep the chest lifted.,"(SWITCH) Push off the right foot to return to center, then repeat on the left side."
3012,Shoulder Y & T Raises,Activate lower traps and posterior shoulder for overhead work.,Standing with a slight hinge at the hips.,(SETUP) Let your arms hang down with thumbs pointing out and spine long.,"(Y-RAISE) Raise your arms up to form a Y shape, squeezing the shoulder blades together.","(T-RAISE) Lower your arms, then raise them straight out to the sides to form a T, maintaining control."
3013,Ankle Hops,Prime calf and Achilles for quick first steps.,Standing tall with feet close together.,(SETUP) Stay light on the balls of your feet with knees slightly soft.,"(HOP) Perform small, quick vertical hops, focusing on a fast bounce off the ground.",(STABILITY) Keep your core tight and land softly each time without letting the heels slam down.
3014,Forearm Extensor Release,Unload the outer elbow and backhand tissues.,Arm extended straight in front of you.,(SETUP) Point your fingers toward the floor with the palm facing you.,(STRETCH) Use the opposite hand to gently pull the back of your hand toward your body until you feel a stretch.,"(RELEASE) Hold for several breaths, then ease off and switch sides."
3015,Figure-4 Glute Stretch,Open the hips after repeated lunges and changes of direction.,Lying on your back with knees bent.,(SETUP) Cross your right ankle over your left knee to create a figure-4 shape.,"(PULL) Reach through and grab your left thigh, gently pulling it toward your chest.","(SWITCH) Hold for several breaths, then repeat on the opposite side."
3016,Child's Pose with Side Reach,Lengthen lats and side body after serving and overheads.,"Kneeling on the floor, sitting back on your heels.",(SETUP) Fold forward and rest your forehead on the floor with arms extended in front of you.,(REACH) Walk both hands to the right until you feel a stretch along your left side and lat.,"(SWITCH) Walk hands back to center, then over to the left side and repeat."
3021,Ankle Circles,Mobilize the ankles before the miles.,"Standing tall, using a wall for balance if needed.",(SETUP) Lift one foot off the ground while lightly supporting yourself on the wall if needed.,"(CIRCLE) Rotate the ankle in slow, controlled clockwise circles.","(REVERSE) Switch to counter-clockwise circles, then repeat with the other foot."
3022,Glute Activation Drive,Fire the glutes to support the pelvis with each step.,Standing with feet hip-width apart.,(SETUP) Shift weight to your left leg and engage your core.,(DRIVE) Lift the right knee toward your chest while squeezing the left glute.,"(SWITCH) Lower the foot with control and repeat on the other side, staying tall."
3023,Controlled Arm Swings,Rehearse efficient arm swing for walking.,Standing tall with shoulders relaxed.,(SETUP) Bend your elbows slightly and let the arms hang by your sides.,(SWING) Swing your arms forward and backward from the shoulder joint in a natural rhythm.,(RELAX) Keep your neck long and avoid shrugging the shoulders as you move.
3024,Calf Release,Lengthen the calf and Achilles after long walks.,Standing facing a wall.,(SETUP) Place both hands on the wall and step one foot back.,(PRESS) Keep the back heel on the floor and lean into the wall until you feel a stretch in the calf.,"(BEND) Slightly bend the back knee to target the lower calf and Achilles, then switch sides."
3025,Standing Quad Stretch,Open the front of the thigh after steady forward motion.,"Standing tall, holding a chair for balance.",(SETUP) Reach back and grab your right ankle or foot.,(ALIGN) Pull the heel toward your glute while keeping your knees together and torso upright.,"(SWITCH) Hold the stretch, then repeat on the left side."
3026,Foot Arch Massage,Reset the arches after time on your feet.,Standing or seated.,(SETUP) Place a small ball or firm object under the arch of your foot.,(ROLL) Apply gentle pressure and roll the foot forward and backward over the object.,(FOCUS) Spend extra time on any tight or tender spots before switching feet.
3031,Pogo Hops,Wake up calf and Achilles for impact.,Standing with feet hip-width apart.,(SETUP) Keep your knees almost straight and stand tall.,"(BOUNCE) Jump using only your ankles and calves, staying on the balls of your feet.","(RHYTHM) Maintain a quick, rhythmic pace to prime the tendons."
3032,Runner's Lunge with Reach,Open hip flexors and side body before the run.,Standing tall.,"(SETUP) Step back into a lunge, keeping the back leg straight and front knee stacked over the ankle.",(REACH) Reach both arms toward the ceiling and tilt your torso slightly away from the back leg.,(SWITCH) Return to standing and switch sides with control.
3033,Hamstring Scoops,Lengthen the hamstrings and groove front-leg loading.,Standing with one heel forward and toes pointed up.,(SETUP) Hinge at the hips while keeping the front leg straight and back knee soft.,"(SCOOP) Reach down and scoop your hands toward the floor in front of the foot, then up overhead.",(SWITCH) Take a small step forward and repeat on the other leg.
3034,Seated Figure-4,Decompress the hips after repetitive strides.,Seated on the floor with legs extended.,(SETUP) Bend your left knee and cross your right ankle over the left thigh.,(PRESS) Lean forward slightly or pull the left thigh toward you to feel the stretch in the right hip.,"(SWITCH) Hold, then repeat on the opposite side."
3035,Cobra Pose,Restore extension through the front of the body.,Lying face down on a mat.,(SETUP) Place your hands on the floor next to your shoulders with elbows close to your sides.,"(LIFT) Gently press through your hands to lift your chest off the floor, keeping your hips grounded.",(EXTEND) Draw shoulders away from your ears and breathe into the front of the body.
3036,Legs Up the Wall,Assist circulation and recovery after impact.,Lying on your back with your glutes as close to a wall as possible.,(SETUP) Extend your legs straight up against the wall with heels resting lightly.,(RELAX) Let your arms rest by your sides with palms up and jaw unclenched.,"(BREATHE) Stay here for about two minutes, breathing slowly to calm the system."